area,function,doc_source,expected_package,status,reason_missing,recommended_action,priority,notes
geometry,ST_ClosestPoint,SedonaDB Rust docs; Apache Sedona Geometry Functions,"geos,geos-proj,full",supported,"Implemented via a SedonaDB GEOS patch and verified in all package tiers.","Keep coverage in the geo-function Vitest catalog and preserve the GEOS registration patch in the SedonaDB patch series.",done,"Phase 1 complete."
geometry,ST_LineLocatePoint,SedonaDB Rust docs; Apache Sedona Geometry Functions,"geos,geos-proj,full",supported,"Implemented via a SedonaDB GEOS patch and verified in all package tiers.","Keep coverage in the geo-function Vitest catalog and preserve the GEOS registration patch in the SedonaDB patch series.",done,"Phase 1 complete."
geometry,ST_MaxDistance,SedonaDB Rust docs; Apache Sedona Geometry Functions,"geos,geos-proj,full",supported,"Implemented via a SedonaDB GEOS patch and verified in all package tiers.","Keep coverage in the geo-function Vitest catalog and preserve the GEOS registration patch in the SedonaDB patch series.",done,"Phase 1 complete."
geometry,ST_KNN,SedonaDB Rust docs; Apache Sedona Optimizer/Nearest-Neighbour docs,"geos,geos-proj,full",supported_mvp,"The WASM build now registers the Sedona spatial join planner and supports ST_KNN in all public packages through a constrained browser MVP: single-partition, in-memory, sequential refinement, no spill/out-of-core execution.","Keep ST_KNN covered in the dedicated knn Vitest suite and document the current MVP limits clearly; only broaden scope if we later pursue native-style multi-partition or spill-capable joins in the browser.",done,"Supported in the browser MVP. See plans/optimizer-parity-note.md."
geometry,ST_GeomFromGeoJSON,Apache Sedona broad docs only,"geos,geos-proj,full",supported,"Implemented as a local broad-doc extension in the SedonaDB patch series and verified in the geos package function-catalog suite.","Keep it documented as an intentional local extension beyond the SedonaDB baseline and preserve coverage in the geo-function Vitest catalog.",done,"Outside the SedonaDB baseline, but now shipped intentionally as a local extension."
geometry,ST_GeomFromGML,Apache Sedona broad docs only,"geos,geos-proj,full",outside_sedonadb_baseline,"This function is documented on the broader Apache Sedona site, but it is not part of the current SedonaDB SQL reference or the pinned deps/sedona-db engine surface used by this repo.","Do not treat it as an active SedonaDB parity gap. Revisit only if we explicitly choose to pursue broader Apache Sedona cross-product parity; if so, prefer upstream SedonaDB/Rust work first.",low,"Outside the SedonaDB baseline. See plans/website-parity-scope-note.md."
geometry,ST_GeomFromKML,Apache Sedona broad docs only,"geos,geos-proj,full",outside_sedonadb_baseline,"This function is documented on the broader Apache Sedona site, but it is not part of the current SedonaDB SQL reference or the pinned deps/sedona-db engine surface used by this repo.","Do not treat it as an active SedonaDB parity gap. Revisit only if we explicitly choose to pursue broader Apache Sedona cross-product parity; if so, prefer upstream SedonaDB/Rust work first.",low,"Outside the SedonaDB baseline. See plans/website-parity-scope-note.md."
geometry,ST_GeomFromGeoHash,Apache Sedona broad docs only,"geos,geos-proj,full",outside_sedonadb_baseline,"This function is documented on the broader Apache Sedona site, but it is not part of the current SedonaDB SQL reference or the pinned deps/sedona-db engine surface used by this repo.","Do not treat it as an active SedonaDB parity gap. Revisit only if we explicitly choose to pursue broader Apache Sedona cross-product parity; if so, prefer upstream SedonaDB/Rust work first.",low,"Outside the SedonaDB baseline. See plans/website-parity-scope-note.md."
geometry,ST_MakeEnvelope,Apache Sedona broad docs only,"geos,geos-proj,full",supported,"Implemented as a local broad-doc extension in the SedonaDB patch series and verified in the geos package function-catalog suite.","Keep it documented as an intentional local extension beyond the SedonaDB baseline and preserve coverage in the geo-function Vitest catalog.",done,"Outside the SedonaDB baseline, but now shipped intentionally as a local extension."
geometry,ST_ExteriorRing,Apache Sedona broad docs only,"geos,geos-proj,full",supported,"Implemented as a local broad-doc extension in the SedonaDB patch series and verified in the geos package function-catalog suite.","Keep it documented as an intentional local extension beyond the SedonaDB baseline and preserve coverage in the geo-function Vitest catalog.",done,"Outside the SedonaDB baseline, but now shipped intentionally as a local extension."
